segment	cluster	buyer_question
real estate	property sale and recapture	What happens to tenant deposits and prepaid rent when a building is sold?
real estate	property sale and recapture	Can I allocate part of a sale price to removable equipment instead of the building?
real estate	property sale and recapture	How should improvements completed shortly before sale affect adjusted basis?
real estate	property sale and recapture	What is the gain after a property buyer defaults on an installment note?
real estate	property sale and recapture	How do I report a sale when a lease termination payment is part of the deal?
real estate	property sale and recapture	Can an investor donate an appreciated rental instead of selling it?
real estate	property sale and recapture	How should a family partnership distribute sale proceeds after paying off debt?
real estate	property sale and recapture	What happens to depreciation from a prior owner when I sell inherited property?
real estate	property sale and recapture	What after-tax price makes a direct sale better than a complicated exchange?
real estate	syndication and partnership	What tax diligence should an investor demand before funding a real estate syndication?
real estate	syndication and partnership	How do sponsor fees change the opening tax basis of a property deal?
real estate	syndication and partnership	Can I use my share of cost segregation losses against other business income?
real estate	syndication and partnership	What happens to outside basis when a syndication refinances and distributes cash?
real estate	syndication and partnership	Should a partnership elect Section 754 after an investor buys another member's interest?
real estate	syndication and partnership	How are capital accounts affected when a partner contributes appreciated real estate?
real estate	syndication and partnership	What tax issues arise when a property partnership admits a new investor midyear?
real estate	syndication and partnership	How should an operating agreement allocate sale proceeds and tax gain differently?
real estate	syndication and partnership	Can a sponsor recover organizational costs before the first property closes?
real estate	syndication and partnership	How does partnership debt affect an investor's ability to deduct losses?
real estate	syndication and partnership	What records support a special allocation of depreciation among investors?
real estate	syndication and partnership	What happens if the syndication sells the property before planned distributions?
real estate	syndication and partnership	Can an investor exit a real estate partnership through a 1031 exchange?
real estate	syndication and partnership	How does a partnership interest sale differ from a sale of the underlying building?
real estate	syndication and partnership	What happens to suspended losses when I sell my entire syndication interest?
real estate	syndication and partnership	How should preferred returns and promote allocations be reported on K-1s?
real estate	syndication and partnership	What tax review is needed before distributing appreciated property to a partner?
real estate	syndication and partnership	Can a partnership allocate an insurance gain to the owners who bore the loss?
real estate	syndication and partnership	How do I reconcile a corrected K-1 after filing my investor return?
real estate	syndication and partnership	What happens when a sponsor guarantee is released after a refinance?
real estate	syndication and partnership	How should investors evaluate a large first-year loss before subscribing?
real estate	syndication and partnership	Can a family partnership contribute a building with a mortgage above basis?
real estate	syndication and partnership	What happens to tax basis when an investor funds a capital call?
real estate	syndication and partnership	How should a sponsor allocate acquisition fees across several properties?
real estate	syndication and partnership	What tax records should an investor request before signing a partnership buyout?
real estate	refinance and debt	Is cash from refinancing my rental taxable when I distribute it to myself?
real estate	refinance and debt	How should loan proceeds used for another business be traced for interest deductions?
real estate	refinance and debt	What happens to partnership basis when property debt is refinanced?
real estate	refinance and debt	Can a rental owner deduct loan points paid on a major refinance?
real estate	refinance and debt	How does refinancing before a 1031 exchange affect taxable boot?
real estate	refinance and debt	What tax review is needed before a cash-out refinance of several buildings?
real estate	refinance and debt	How do lender reserves and escrow deposits affect the property's tax ledger?
real estate	refinance and debt	What happens when a partner guarantees a loan but has not paid it?
real estate	refinance and debt	Can a heavily leveraged property still use a large depreciation deduction?
real estate	refinance and debt	How should construction debt be allocated among homes completed in phases?
real estate	refinance and debt	Does a debt reduction create taxable income after a distressed property workout?
real estate	refinance and debt	What happens to unamortized financing costs when I replace a loan?
real estate	refinance and debt	Can my operating company lend money to the rental property LLC?
real estate	refinance and debt	How should interest be traced when refinance proceeds fund a renovation?
real estate	refinance and debt	What tax basis effect follows a property partnership's debt payoff?
real estate	refinance and debt	Can an investor distribute refinance cash without releasing suspended losses?
real estate	refinance and debt	How does a lender's assumption of debt change my property sale proceeds?
real estate	refinance and debt	What happens if a commercial mortgage is modified before a property sale?
real estate	refinance and debt	How should related-party loans to a property LLC be documented?
real estate	refinance and debt	Can a partner buyout be funded with a property refinance without unintended gain?
real estate	refinance and debt	What records support the business use of cash-out refinancing proceeds?
real estate	refinance and debt	How do debt-financed distributions affect investors with limited basis?
real estate	refinance and debt	Should I refinance or sell a mature rental after comparing after-tax cash flow?
real estate	refinance and debt	How does a loan forgiveness settlement affect the property's adjusted basis?
real estate	refinance and debt	What tax issues arise when several properties secure one portfolio loan?
real estate	commercial leasing	I funded a tenant build-out; who owns and depreciates the improvements?
real estate	commercial leasing	How should a landlord treat a large tenant improvement allowance?
real estate	commercial leasing	What happens to an old build-out when a tenant leaves and space is renovated?
real estate	commercial leasing	Can I deduct a payment to terminate a below-market commercial lease?
real estate	commercial leasing	How does a rent-free period affect the landlord's tax reporting?
real estate	commercial leasing	What happens when a tenant prepays several years of rent before a property sale?
real estate	commercial leasing	How should a retail center allocate common-area improvement costs across tenants?
real estate	commercial leasing	Can a landlord depreciate tenant-owned signage or equipment?
real estate	commercial leasing	How do lease renewal costs differ from new-tenant acquisition costs?
real estate	commercial leasing	What tax records matter when a major tenant buys out its lease?
real estate	commercial leasing	How should an office landlord treat a cash allowance paid directly to a tenant?
real estate	commercial leasing	Can I use cost segregation after converting a warehouse to multiple tenant spaces?
real estate	commercial leasing	What happens when a tenant removes improvements at lease expiration?
real estate	commercial leasing	How should a ground-lease payment be treated in a development model?
real estate	commercial leasing	What tax consequences follow a lease modification during a building refinance?
real estate	commercial leasing	Can a landlord deduct broker commissions paid for a long-term tenant?
real estate	commercial leasing	How do I model a tenant's percentage rent in a retail property acquisition?
real estate	commercial leasing	What happens when tenant security deposits transfer to a buyer at closing?
real estate	commercial leasing	How should a landlord document rent concessions granted during a renovation?
real estate	commercial leasing	Can a medical office owner classify specialty build-outs separately from the building?
real estate	commercial leasing	What tax issues arise when the property owner and tenant business share owners?
real estate	commercial leasing	How should a property owner account for insurance proceeds on tenant damage?
real estate	commercial leasing	Can a landlord retire the remaining basis of improvements demolished for a new tenant?
real estate	commercial leasing	What tax review is needed before signing a sale-leaseback of operating real estate?
real estate	commercial leasing	How should a commercial landlord compare after-tax returns from renewal versus redevelopment?
